#{"t_start": 1752646486.71987, "env_id": "None"}
r,l,t
5.867153,1,1519.496807
10.110181,1,1522.41778
10.040514,1,1526.138883
10.373222,1,1529.659924
6.950583,2,1535.276018
4.497486,9,1559.964456
10.430097,1,1563.689852
10.464097,3,1571.596169
9.543194,3,1580.908805
13.208514,10,1606.080548
9.871847,1,1609.601711
6.147764,3,1617.908066
20.84325,1,1621.028551
17.399097,1,1624.351024
14.551514,4,1635.954823
9.964444,1,1639.275649
10.000222,1,1642.601808
7.191625,3,1651.709586
9.975333,1,1654.832178
10.698819,2,1660.646588
10.032653,1,1664.56855
6.898306,1,1668.090534
9.825194,2,1674.107269
12.980347,4,1685.11004
10.138528,1,1688.630921
12.971667,4,1699.434996
18.351486,4,1710.442296
9.004556,4,1721.845437
9.63825,1,1725.368143
9.211653,1,1728.686614
11.588736,1,1732.020608
10.804792,6,1750.018406
11.536472,3,1759.125726
7.9385,3,1767.834231
8.997264,2,1774.051831
10.436236,1,1777.372002
10.009528,1,1780.8981
10.918264,1,1784.217853
9.179958,1,1787.738046
3.354,14,1824.298815
9.946347,1,1828.018157
12.945944,1,1831.343911
11.750472,2,1837.757119
10.857292,1,1840.676892
10.560583,1,1843.802588
7.5265,5,1856.697914
9.940778,1,1860.219819
10.663875,1,1863.741301
14.950153,2,1869.158057
12.733792,1,1873.079629
10.753806,1,1877.219155
8.163972,8,1897.80683
11.968236,2,1903.021714
11.360986,1,1907.34855
7.237528,1,1910.867429
10.295917,1,1914.189493
9.187528,1,1917.507769
8.953583,2,1924.326276
9.674111,2,1930.155839
11.740125,3,1938.662761
4.802472,2,1944.078385
8.480833,1,1947.201431
10.242097,7,1966.305856
9.181361,1,1970.037801
10.779708,1,1973.557613
6.354597,3,1981.670865
9.825222,1,1985.795007
12.193194,1,1989.524887
7.48375,1,1993.247259
9.613194,1,1997.168921
10.333125,1,2000.689147
13.116069,1,2004.012189
10.852111,3,2012.335256
4.089431,3,2021.043388
16.758042,4,2033.062047
5.352972,8,2054.661215
10.223708,1,2058.189822
12.218014,9,2081.684023
7.593861,1,2084.803484
11.017792,1,2088.924966
14.757806,2,2095.138072
7.752625,3,2103.650171
11.575861,1,2106.769446
9.47525,9,2130.645207
10.107861,2,2136.063397
10.527569,7,2153.751325
13.252264,1,2157.072653
11.489139,1,2160.593375
9.709444,1,2164.514343
9.223153,8,2184.697717
10.852319,1,2187.616776
9.366792,1,2190.938175
11.116431,1,2194.264747
9.916778,1,2197.808658
10.207944,1,2201.13187
10.473472,1,2204.252896
10.910514,4,2215.654502
10.059028,2,2221.270989
9.986694,1,2224.791639
4.79125,2,2231.206952
8.191111,6,2248.600086
6.882986,4,2260.002943
9.106264,3,2268.31619
11.141264,1,2272.435824
10.751014,1,2275.758444
9.140431,1,2279.080057
8.240847,1,2282.400075
9.621,1,2285.520028
10.895736,1,2289.042056
10.137514,1,2292.965212
11.882056,1,2296.285073
10.535069,1,2300.2091
9.781792,1,2303.929577
10.774556,1,2307.250995
9.42375,2,2313.267063
9.679514,2,2319.282288
9.484056,1,2322.602923
8.684597,3,2331.312189
11.490403,2,2337.327861
8.271028,1,2340.851939
10.706153,2,2346.866236
6.823375,4,2357.069902
6.822972,1,2360.591815
11.145847,1,2363.712935
10.647,4,2373.915261
15.480264,5,2387.215362
9.126264,1,2390.937224
21.564167,1,2394.260518
8.559986,4,2404.862669
8.360375,17,2446.053725
8.48175,2,2451.271702
7.108514,1,2455.191813
7.929875,1,2458.710722
13.847153,3,2466.821655
9.648806,1,2470.342719
10.287333,1,2473.663748
7.370347,1,2477.583245
9.465514,2,2482.799413
14.730625,1,2486.120022
1.581278,4,2497.326054
10.021986,1,2500.846218
9.945556,1,2504.569852
9.991222,1,2508.090189
10.048236,4,2519.895187
10.064042,1,2523.417039
10.065417,1,2526.738014
10.017222,1,2530.059913
9.946819,1,2533.381027
10.001889,1,2536.502481
10.015778,1,2540.224218
10.002306,1,2544.149309
9.916278,1,2548.270098
9.986528,1,2551.193243
10.000417,1,2554.713829
10.079653,1,2558.031904
9.894472,2,2563.247623
9.990333,1,2566.773834
10.627875,1,2570.520692
12.521014,1,2574.640736
-5.232556,1,2578.363193
8.594847,1,2581.697586
10.360403,1,2585.619743
8.901056,1,2588.937893
8.772014,1,2592.479975
13.143958,1,2595.812799
7.1275,1,2599.746994
6.705764,2,2605.576175
9.722375,1,2609.307084
8.413389,1,2612.628911
11.191278,1,2616.1522
7.255042,1,2619.473413
9.950556,1,2622.796845
9.976917,1,2626.131534
10.010889,1,2629.669942
9.976361,1,2633.599936
9.994333,1,2637.317601
12.019958,1,2640.44155
8.654903,1,2643.962756
10.176583,1,2647.283175
9.965569,1,2650.604918
9.952792,1,2654.525467
9.981847,1,2657.445929
10.475583,1,2660.768777
9.962528,1,2664.089794
9.989806,1,2667.41353
9.995194,1,2670.931953
9.996792,1,2674.051826
9.981569,1,2676.778471
10.733042,1,2680.109473
9.064,1,2683.633057
14.205569,1,2686.953146
12.792542,1,2690.072807
7.911139,1,2693.394299
10.899014,1,2697.118563
8.138306,1,2700.439479
9.605042,2,2705.854605
9.829431,1,2709.775997
10.5925,1,2713.496382
11.444306,2,2720.928731
10.678486,1,2724.660381
8.309722,1,2728.182215
10.01375,1,2731.70298
17.056014,1,2734.828503
9.975292,2,2741.054703
9.965181,1,2742.4699
